"num.claims" "av.claimsize"
"1748" 1 8.93111
"1752" 2 1.358825
"1758" 1 1.19433
"1768" 5 0.262658
"1775" 3 1.06432666666667
"1784" 7 1.91796285714286
"1791" 1 4.2
"1799" 3 3.31290333333333
"1800" 1 0.65699
"1801" 1 3.34079
"1802" 1 8.80174
"1804" 1 6.02125
"1810" 5 2.394522
"1812" 1 3.6156
"1814" 1 7.5
"1822" 1 8.7
"1823" 1 0.11731
"1826" 1 0.58164
"1830" 1 2.20493
"1833" 1 0.87833
"1836" 2 2.806345
"1838" 1 3.40632
"1839" 1 0.99194
"1843" 1 3.12172
"1846" 1 6.03164
"1849" 2 0.839265
"1853" 2 2.030855
"1861" 2 3.68507
"1871" 1 5.10261
"1875" 1 4.35753
"1876" 1 0.85682
"1881" 3 4.59012
"1883" 1 1
"1888" 1 1.81
"1897" 2 5.315755
"1905" 1 2.51514
"1907" 1 4.86598
"1912" 3 2.71885333333333
"1922" 1 0.41172
"1929" 1 4.277
"1930" 1 5.39616
"1932" 1 0.93721
"1934" 1 0.2829
"1935" 1 1.69345
"1938" 1 3.14
"1949" 1 0.36664
"1951" 3 3.08173666666667
"1952" 2 1.27814
"1954" 1 3.35
"1958" 1 5.07965
"1967" 1 0.89448
"1968" 2 2.35964
"1971" 2 3.200605
"1972" 1 5.95
"1979" 3 1.19976333333333
"1987" 1 0.8275
"1988" 2 0.65
"1992" 1 0.75864
"2001" 2 2.804555
"2003" 1 3.2
"2007" 1 0.29858
"2011" 1 5.2
"2015" 1 0.23917
"2018" 2 1.275275
"2020" 2 0.149885
"2025" 1 1.1
"2035" 1 2.6
"2036" 1 2.12901
"2054" 1 1.75387
"2059" 2 3.373475
"2066" 1 2.9334
"2071" 2 0.520995
"2074" 2 1.361655
"2078" 2 0.3768
"2084" 1 0.41424
"2085" 3 2.33203666666667
"2091" 1 0.31053
"2093" 1 0.70059
"2094" 1 0.74562
"2099" 1 0.00039
"2100" 1 0.51727
"2101" 1 4.14
"2108" 1 4.95812
"2115" 1 1.1329
"2120" 2 1.988875
"2122" 1 1.49964
"2130" 1 2.70121
"2143" 3 2.524
"2146" 1 7.05
"2161" 2 2.600775
"2165" 1 0.36368
"2168" 1 3.12516
"2173" 1 1.67983
"2177" 1 0.71396
"2181" 2 0.792565
"2184" 2 0.68852
"2190" 4 1.31776
"2192" 1 4.20103
"2193" 1 0.21344
"2208" 1 0.0595
"2211" 1 1.46667
"2216" 1 3.7
"2218" 1 1.72365
"2220" 2 1.670065
"2221" 1 0.5474
"2231" 1 4.15
"2233" 1 0.70472
"2242" 1 0.3351
"2244" 1 0.65676
"2248" 3 0.408523333333333
"2250" 1 4.32852
"2252" 1 0.98604
"2255" 1 5.02529
"2259" 1 0.51548
"2264" 1 4.57707
"2265" 1 0.21097
"2268" 1 5.65
"2270" 1 2.05
"2276" 1 0.1508
"2284" 1 6.41279
"2285" 1 0.49774
"2287" 1 6.61492
"2288" 3 1.55573666666667
"2292" 1 0.85139
"2298" 1 1.59164
"2300" 1 0.93627
"2302" 1 0.82237
"2304" 1 1.88406
"2312" 1 2.08657
"2328" 1 0.62007
"2330" 1 0.56965
"2332" 2 0.884605
"2337" 2 2.46775
"2341" 3 0.472
"2350" 1 0.1659
"2354" 1 0.99861
"2355" 1 4.73375
"2356" 2 0.92298
"2357" 1 1.8778
"2361" 1 1.24442
"2363" 2 2.761105
"2369" 4 0.6605775
"2376" 1 0.53723
"2390" 1 0.71346
"2391" 1 0.46922
"2394" 1 0.96852
"2397" 2 2.83345
"2403" 3 2.14728333333333
"2404" 2 1.901125
"2409" 2 1.48422
"2411" 1 0.20161
"2414" 1 0.77
"2416" 1 5.73829
"2422" 1 5.48859
"2425" 1 0.2436
"2426" 1 2.6197
"2429" 2 0.353215
"2430" 1 0.258
